CUSTOM.updateTime,CUSTOM.isPhoto,CUSTOM.isVideo,CUSTOM.hSpeed [m/s],CUSTOM.distance [m],CUSTOM.travelled [m],CUSTOM.hSpeed.running_max [m/s],CALC.hSpeed [m/s],CALC.distance [m],CALC.travelled [m],CALC.distance.running_max [m],CALC.height.running_max [m],OSD.latitude,OSD.longitude,OSD.height [m],OSD.altitude [m],OSD.xSpeed [m/s],OSD.ySpeed [m/s],OSD.zSpeed [m/s],OSD.pitch,OSD.roll,OSD.yaw,OSD.flycState,OSD.flycState.RAW,OSD.flycCommand,OSD.flycCommand.RAW,OSD.canIOCWork,OSD.groundOrSky,OSD.isMotorUp,OSD.isSwaveWork,OSD.goHomeStatus,OSD.goHomeStatus.RAW,OSD.isImuPreheated,OSD.isVisionUsed,OSD.voltageWarning,OSD.modeChannel,OSD.isGPSused,OSD.compassError,OSD.waveError,OSD.gpsLevel,OSD.batteryType,OSD.isAcceletorOverRange,OSD.isVibrating,OSD.isBarometerDeadInAir,OSD.isMotorBlocked,OSD.isNotEnoughForce,OSD.isPropellerCatapult,OSD.isGoHomeHeightModified,OSD.isOutOfLimit,OSD.gpsNum,OSD.flightAction,OSD.flightAction.RAW,OSD.motorStartFailedCause,OSD.motorStartFailedCause.RAW,OSD.nonGPSCause,OSD.nonGPSCause.RAW,OSD.isQuickSpin,OSD.battery,OSD.sWaveHeight [m],OSD.flyTime [s],OSD.motorRevolution,OSD.flycVersion,OSD.droneType,OSD.imuInitFailReason,OSD.imuInitFailReason.RAW,OSD.motorFailReason,OSD.motorFailReason.RAW,OSD.ctrlDevice,OSD.ctrlDevice.RAW,GIMBAL.pitch,GIMBAL.roll,GIMBAL.yaw,GIMBAL.mode,GIMBAL.mode.RAW,GIMBAL.rollAdjust,GIMBAL.pitchAdjust,GIMBAL.yawAngle,GIMBAL.isAutoCalibration,GIMBAL.autoCalibrationResult,GIMBAL.isPitchInLimit,GIMBAL.isRollInLimit,GIMBAL.isYawInLimit,GIMBAL.isTopPosition,GIMBAL.isStuck,GIMBAL.version,GIMBAL.isSingleClick,GIMBAL.isDoubleClick,GIMBAL.isTripleClick,GIMBAL.timeStamp,RC.aileron,RC.elevator,RC.throttle,RC.rudder,RC.gimbal,RC.goHome,RC.mode,RC.isWheelChanged,RC.wheelOffset,RC.wheelClick,RC.record,RC.shutter,RC.playback,RC.custom1,RC.custom2,RC.bandwidth,CENTER_BATTERY.relativeCapacity,CENTER_BATTERY.currentPV [V],CENTER_BATTERY.currentCapacity [mAh],CENTER_BATTERY.fullCapacity [mAh],CENTER_BATTERY.life,CENTER_BATTERY.loopNum,CENTER_BATTERY.errorType,CENTER_BATTERY.current [A],CENTER_BATTERY.voltageCell1 [V],CENTER_BATTERY.voltageCell2 [V],CENTER_BATTERY.voltageCell3 [V],CENTER_BATTERY.voltageCell4 [V],CENTER_BATTERY.voltageCell5 [V],CENTER_BATTERY.voltageCell6 [V],CENTER_BATTERY.serialNo,CENTER_BATTERY.productDate,CENTER_BATTERY.temperature [C],CENTER_BATTERY.connStatus,CENTER_BATTERY.totalStudyCycle,CENTER_BATTERY.lastStudyCycle,CENTER_BATTERY.isNeedStudy,CENTER_BATTERY.isBatteryOnCharge,SMART_BATTERY.usefulTime [s],SMART_BATTERY.goHomeTime [s],SMART_BATTERY.landTime [s],SMART_BATTERY.goHomeBattery,SMART_BATTERY.landBattery,SMART_BATTERY.safeFlyRadius,SMART_BATTERY.volumeConsume,SMART_BATTERY.status,SMART_BATTERY.status.RAW,SMART_BATTERY.goHomeStatus,SMART_BATTERY.goHomeStatus.RAW,SMART_BATTERY.goHomeCountdown,SMART_BATTERY.voltage [V],SMART_BATTERY.battery,SMART_BATTERY.lowWarning,SMART_BATTERY.lowWarningGoHome,SMART_BATTERY.seriousLowWarning,SMART_BATTERY.seriousLowWarningLanding,SMART_BATTERY.voltagePercent,DEFORM.isDeformProtected,DEFORM.isExceptionState,DEFORM.deformStatus,DEFORM.deformStatus.RAW,DEFORM.deformMode,DEFORM.deformMode.RAW,RC_GPS.startupTime,RC_GPS.latitude,RC_GPS.longitude,RC_GPS.xSpeed [m/s],RC_GPS.ySpeed [m/s],RC_GPS.gpsNum,RC_GPS.accuracy,RC_GPS.gpsStatus,CAMERA_INFO.connectState,CAMERA_INFO.usbState,CAMERA_INFO.timeSyncState,CAMERA_INFO.photoState,CAMERA_INFO.recordState,CAMERA_INFO.sensorState,CAMERA_INFO.sdCardInsertState,CAMERA_INFO.sdCardState,CAMERA_INFO.firmUpgradeState,CAMERA_INFO.firmErrorType,CAMERA_INFO.hotState,CAMERA_INFO.enabledPhoto,CAMERA_INFO.isStoring,CAMERA_INFO.isTimePhotoing,CAMERA_INFO.encryptStatus,CAMERA_INFO.mode,CAMERA_INFO.sdCardTotalSize,CAMERA_INFO.sdCardFreeSize,CAMERA_INFO.remainedShots,CAMERA_INFO.remainedTime,CAMERA_INFO.videoRecordTime,CAMERA_INFO.cameraType,CAMERA_INFO.version,MC_PARAM.failSafeAction,MC_PARAM.OAenabled,MC_PARAM.VPSenabled,MC_PARAM.rthOAenabled,HOME.latitude,HOME.longitude,HOME.height [m],HOME.isHomeRecord,HOME.goHomeMode,HOME.aircraftHeadDirection,HOME.isDynamicHomePointEnabled,HOME.isReachedLimitDistance,HOME.isReachedLimitHeight,HOME.isMultipleModeOpen,HOME.goHomeStatus,HOME.hasGoHome,HOME.compassCeleStatus,HOME.isCompassCeleing,HOME.isBeginnerMode,HOME.isIOCEnabled,HOME.iocMode,HOME.goHomeHeight [m],HOME.courseLockAngle,HOME.dataRecorderStatus,HOME.dataRecorderRemainCapacity,HOME.dataRecorderRemainTime,HOME.dataRecorderFileIndex,HOME.isFlycInSimulationMode,HOME.isFlycInNavigationMode,HOME.isWingBroken,HOME.isBigGale,HOME.isBigGaleWarning,HOME.isCompassInstallErr,HOME.isFanCurrentInAbnormalState,HOME.paddleState,HOME.heightLimitStatus,HOME.useAbsoluteHeight,HOME.motor1EscmState,HOME.motor2EscmState,HOME.motor3EscmState,HOME.motor4EscmState,HOME.motor5EscmState,HOME.motor6EscmState,HOME.motor7EscmState,HOME.motor8EscmState,HOME.forceLandingHeight [m],RECOVER.droneType,RECOVER.appType,RECOVER.appVersion,RECOVER.aircraftSnBytes,RECOVER.aircraftName,RECOVER.activeTimestamp,RECOVER.cameraSn,RECOVER.rcSn,RECOVER.batterySn,RECOVER.gimbalType,FIRMWARE.version,DETAILS.street,DETAILS.citypart,DETAILS.city,DETAILS.area,DETAILS.isFavorite,DETAILS.isNew,DETAILS.needUpload,DETAILS.recordLineCount,DETAILS.timestamp,DETAILS.latitude,DETAILS.longitude,DETAILS.totalDistance [m],DETAILS.totalTime [s],DETAILS.maxHeight [m],DETAILS.maxHorizontalSpeed [m/s],DETAILS.maxVerticalSpeed [m/s],DETAILS.photoNum,DETAILS.videoTime [s],DETAILS.takeOffAltitude [m],DETAILS.droneType,DETAILS.activeTimestamp,DETAILS.aircraftName,DETAILS.aircraftSnBytes,DETAILS.cameraSn,DETAILS.rcSn,DETAILS.batterySn,DETAILS.appType,DETAILS.appVersion,APP_GPS.latitude,APP_GPS.longitude,APP_GPS.accuracy,APP_TIP.tip,APP_WARN.warn,APP_SER_WARN.warn
2021/03/18 12:04:50.930,,,0,,0,0,0,0,,0,0,55.914752,9.203741,0,35.8,0,0,0,0.6,-1.7,-13.7,GPS_Atti,6,Other,0,True,Ground,True,True,Standby,0,True,False,0,P,True,False,False,5,Smart,False,False,False,False,False,False,False,False,14,RC_AssistantTakeoff,9,None,0,Already,0,False,0,0.1,0,1,28,P4 Professional,MonitorError,0,,0,RC,0,0,0,-9.2,YawFollow,2,0,0,0,False,0,False,False,False,False,False,1,False,False,False,77997,-10000,-10000,-10000,10000,0,0,P,False,0,0,0,0,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,No,No,0,1,Normal,0,No,0,0,0,0,CheckSuccess,TakePhoto,59344,45574,5479,3540,0,FC6310,11,GoHome,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P4 Professional,iOS,4.3.42,07JDDBB0010175,species tracker,2017/02/09 13:13:20,0BDLDB200103ZL,0CKJ115596,0DQADBU03107N6,Timeout,,,,Give,Syddanmark,2,1,0,3036,2021/03/18 12:04:50.826,55.914752,9.203741,2021.24,318.6,100.4,13.87,5.2,0,202,35.79,P4 Professional,2017/02/09 13:13:20,species tracker,07JDDBB0010175,0BDLDB200103ZL,0CKJ115596,0DQADBU03107N6,iOS,4.3.42,,,,,Your aircraft has entered a Warning Zone (Class E Airspace). Please fly with caution.,
2021/03/18 12:04:50.930,,,0,,0,0,0,0,0,0,0,55.914752,9.203741,0,35.8,0,0,0,0.6,-1.7,-13.7,EngineStart,41,Other,0,True,Ground,True,True,Standby,0,True,False,0,P,True,False,False,5,Smart,False,False,False,False,False,False,False,False,14,RC_AssistantTakeoff,9,None,0,Already,0,False,0,0.1,0.1,1,28,P4 Professional,MonitorError,0,,0,RC,0,0,0,-9.2,YawFollow,2,0,0,0,False,0,False,False,False,False,False,1,False,False,False,78105,-10000,-10000,-10000,10000,0,0,P,False,0,0,0,0,0,0,0,10,96,16.503,4999,5208,0,60,0,1.34,4.125,4.14,4.136,4.124,,0,0,1980/00/00,16.95,Normal,0,0,True,,0,0,0,0,0,0,1340.713,None,0,NonGoHome,0,0,16.504,96,30,False,10,True,0,,,,,,,,,,,,,,,0,0,1,No,No,0,1,Normal,0,No,0,0,0,0,CheckSuccess,TakePhoto,59344,45574,5479,3540,0,FC6310,11,GoHome,False,True,False,55.914763,9.203718,-35.79,True,1,1,False,False,False,True,4,False,0,False,False,False,CourseLock,120,-23.9,0,17,0,391,False,False,False,False,False,False,False,Normal,NonLimit,False,MotorOff,MotorOff,MotorOff,MotorOff,NonConnect,NonConnect,NonConnect,NonConnect,3,P4 Professional,iOS,4.3.42,07JDDBB0010175,species tracker,2017/02/09 13:13:20,0BDLDB200103ZL,0CKJ115596,0DQADBU03107N6,Timeout,,,,Give,Syddanmark,2,1,0,3036,2021/03/18 12:04:50.826,55.914752,9.203741,2021.24,318.6,100.4,13.87,5.2,0,202,35.79,P4 Professional,2017/02/09 13:13:20,species tracker,07JDDBB0010175,0BDLDB200103ZL,0CKJ115596,0DQADBU03107N6,iOS,4.3.42,,,,,,
2021/03/18 12:04:51.031,,,0,,0.01,0,0,1.91,0.01,1.91,0,55.914752,9.203741,0,35.8,0,0,0,0.6,-1.7,-13.7,EngineStart,41,Other,0,True,Ground,True,True,Standby,0,True,False,0,P,True,False,False,5,Smart,False,False,False,False,False,False,False,False,14,RC_AssistantTakeoff,9,None,0,Already,0,False,0,0.1,0.2,1,28,P4 Professional,MonitorError,0,,0,RC,0,0,0,-9.2,YawFollow,2,0,0,0,False,0,False,False,False,False,False,1,False,False,False,78212,-10000,-10000,-10000,10000,0,0,P,False,0,0,0,0,0,0,0,10,96,16.503,4999,5208,0,60,0,1.34,4.125,4.14,4.136,4.124,,0,0,1980/00/00,16.95,Normal,0,0,True,,0,0,0,0,0,0,1340.713,None,0,NonGoHome,0,0,16.504,96,30,False,10,True,0,,,,,,,,,,,,,,,0,0,1,No,No,0,1,Normal,0,No,0,0,0,0,CheckSuccess,TakePhoto,59344,45574,5479,3540,0,FC6310,11,GoHome,False,True,False,55.914763,9.203718,-35.79,True,1,1,False,False,False,True,4,False,0,False,False,False,CourseLock,120,-23.9,0,17,0,391,False,False,False,False,False,False,False,Normal,NonLimit,False,MotorOff,MotorOff,MotorOff,MotorOff,NonConnect,NonConnect,NonConnect,NonConnect,3,P4 Professional,iOS,4.3.42,07JDDBB0010175,species tracker,2017/02/09 13:13:20,0BDLDB200103ZL,0CKJ115596,0DQADBU03107N6,Timeout,,,,Give,Syddanmark,2,1,0,3036,2021/03/18 12:04:50.826,55.914752,9.203741,2021.24,318.6,100.4,13.87,5.2,0,202,35.79,P4 Professional,2017/02/09 13:13:20,species tracker,07JDDBB0010175,0BDLDB200103ZL,0CKJ115596,0DQADBU03107N6,iOS,4.3.42,,,,,,
2021/03/18 12:04:51.137,,,0,,0.01,0,0.05,1.91,0.01,1.91,0,55.914752,9.203742,0,35.8,0,0,0,0.6,-1.7,-13.7,EngineStart,41,Other,0,True,Ground,True,True,Standby,0,True,False,0,P,True,False,False,5,Smart,False,False,False,False,False,False,False,False,14,RC_AssistantTakeoff,9,None,0,Already,0,False,0,0.1,0.3,1,28,P4 Professional,MonitorError,0,,0,RC,0,0,0,-9.2,YawFollow,2,0,0,0,False,0,False,False,False,False,False,1,False,False,False,78320,-10000,-10000,-10000,10000,0,0,P,False,0,0,0,0,0,0,0,10,96,16.503,4999,5208,0,60,0,1.34,4.125,4.14,4.136,4.124,,0,0,1980/00/00,16.95,Normal,0,0,True,,0,0,0,0,0,0,1340.713,None,0,NonGoHome,0,0,16.504,96,30,False,10,True,0,,,,,,,,,,,,,,,0,0,1,No,No,0,1,Normal,0,No,0,0,0,0,CheckSuccess,TakePhoto,59344,45574,5479,3540,0,FC6310,11,GoHome,False,True,False,55.914763,9.203718,-35.79,True,1,1,False,False,False,True,4,False,0,False,False,False,CourseLock,120,-23.9,0,17,0,391,False,False,False,False,False,False,False,Normal,NonLimit,False,MotorOff,MotorOff,MotorOff,MotorOff,NonConnect,NonConnect,NonConnect,NonConnect,3,P4 Professional,iOS,4.3.42,07JDDBB0010175,species tracker,2017/02/09 13:13:20,0BDLDB200103ZL,0CKJ115596,0DQADBU03107N6,Timeout,,,,Give,Syddanmark,2,1,0,3036,2021/03/18 12:04:50.826,55.914752,9.203741,2021.24,318.6,100.4,13.87,5.2,0,202,35.79,P4 Professional,2017/02/09 13:13:20,species tracker,07JDDBB0010175,0BDLDB200103ZL,0CKJ115596,0DQADBU03107N6,iOS,4.3.42,,,,,,
2021/03/18 12:04:51.239,,,0,,0.02,0,0.05,1.92,0.02,1.92,0,55.914752,9.203742,0,35.8,0,0,0,0.7,-1.7,-13.7,EngineStart,41,Other,0,True,Ground,True,True,Standby,0,True,False,0,P,True,False,False,5,Smart,False,False,False,False,False,False,False,False,14,RC_AssistantTakeoff,9,None,0,Already,0,False,0,0.1,0.4,1,28,P4 Professional,MonitorError,0,,0,RC,0,0,0,-9.2,YawFollow,2,0,0,0,False,0,False,False,False,False,False,1,False,False,False,78430,-10000,-10000,-10000,10000,0,0,P,False,0,0,0,0,0,0,0,10,96,16.503,4999,5208,0,60,0,1.34,4.125,4.14,4.136,4.124,,0,0,1980/00/00,16.95,Normal,0,0,True,,0,0,0,0,0,0,1340.713,None,0,NonGoHome,0,0,16.504,96,30,False,10,True,0,,,,,,,,,,,,,,,0,0,1,No,No,0,1,Normal,0,No,0,0,0,0,CheckSuccess,TakePhoto,59344,45574,5479,3540,0,FC6310,11,GoHome,False,True,False,55.914763,9.203718,-35.79,True,1,1,False,False,False,True,4,False,0,False,False,False,CourseLock,120,-23.9,0,17,0,391,False,False,False,False,False,False,False,Normal,NonLimit,False,MotorOff,MotorOff,MotorOff,MotorOff,NonConnect,NonConnect,NonConnect,NonConnect,3,P4 Professional,iOS,4.3.42,07JDDBB0010175,species tracker,2017/02/09 13:13:20,0BDLDB200103ZL,0CKJ115596,0DQADBU03107N6,Timeout,,,,Give,Syddanmark,2,1,0,3036,2021/03/18 12:04:50.826,55.914752,9.203741,2021.24,318.6,100.4,13.87,5.2,0,202,35.79,P4 Professional,2017/02/09 13:13:20,species tracker,07JDDBB0010175,0BDLDB200103ZL,0CKJ115596,0DQADBU03107N6,iOS,4.3.42,,,,,,
2021/03/18 12:04:51.351,,,0,,0.02,0,0.05,1.92,0.02,1.92,0,55.914752,9.203742,0,35.8,0,0,0,0.7,-1.7,-13.7,EngineStart,41,Other,0,True,Ground,True,True,Standby,0,True,False,0,P,True,False,False,5,Smart,False,False,False,False,False,False,False,False,14,RC_AssistantTakeoff,9,None,0,Already,0,False,0,0.1,0.5,1,28,P4 Professional,MonitorError,0,,0,RC,0,0,0,-9.2,YawFollow,2,0,0,0,False,0,False,False,False,False,False,1,False,False,False,78536,-5348,-5818,-8364,8470,0,0,P,False,0,0,0,0,0,0,0,10,96,16.503,4999,5208,0,60,0,1.34,4.125,4.14,4.136,4.124,,0,0,1980/00/00,16.95,Normal,0,0,True,,0,0,0,0,0,0,1340.713,None,0,NonGoHome,0,0,16.504,96,30,False,10,True,0,,,,,,,,,,,,,,,0,0,1,No,No,0,1,Normal,0,No,0,0,0,0,CheckSuccess,TakePhoto,59344,45574,5479,3540,0,FC6310,11,GoHome,False,True,False,55.914763,9.203718,-35.79,True,1,1,False,False,False,True,4,False,0,False,False,False,CourseLock,120,-23.9,0,17,0,391,False,False,False,False,False,False,False,Normal,NonLimit,False,MotorOff,MotorOff,MotorOff,MotorOff,NonConnect,NonConnect,NonConnect,NonConnect,3,P4 Professional,iOS,4.3.42,07JDDBB0010175,species tracker,2017/02/09 13:13:20,0BDLDB200103ZL,0CKJ115596,0DQADBU03107N6,Timeout,,,,Give,Syddanmark,2,1,0,3036,2021/03/18 12:04:50.826,55.914752,9.203741,2021.24,318.6,100.4,13.87,5.2,0,202,35.79,P4 Professional,2017/02/09 13:13:20,species tracker,07JDDBB0010175,0BDLDB200103ZL,0CKJ115596,0DQADBU03107N6,iOS,4.3.42,,,,,,
2021/03/18 12:04:51.454,,,0,,0.02,0,0.04,1.93,0.03,1.93,0,55.914752,9.203742,0,35.8,0,0,0,0.7,-1.7,-13.7,EngineStart,41,Other,0,True,Ground,True,True,Standby,0,True,False,0,P,True,False,False,5,Smart,False,False,False,False,False,False,False,False,14,RC_AssistantTakeoff,9,None,0,Already,0,False,0,0.1,0.6,1,28,P4 Professional,MonitorError,0,,0,RC,0,0,0,-9.3,YawFollow,2,0,0,0,False,0,False,False,False,False,False,1,False,False,False,78643,0,-621,-1667,515,0,0,P,False,0,0,0,0,0,0,0,10,96,16.503,4999,5208,0,60,0,1.34,4.125,4.14,4.136,4.124,,0,0,1980/00/00,16.95,Normal,0,0,True,,0,0,0,0,0,0,1340.713,None,0,NonGoHome,0,0,16.504,96,30,False,10,True,0,,,,,,,,,,,,,,,0,0,1,No,No,0,1,Normal,0,No,0,0,0,0,CheckSuccess,TakePhoto,59344,45574,5479,3540,0,FC6310,11,GoHome,False,True,False,55.914763,9.203718,-35.79,True,1,1,False,False,False,True,4,False,0,False,False,False,CourseLock,120,-23.9,0,17,0,391,False,False,False,False,False,False,False,Normal,NonLimit,False,MotorOff,MotorOff,MotorOff,MotorOff,NonConnect,NonConnect,NonConnect,NonConnect,3,P4 Professional,iOS,4.3.42,07JDDBB0010175,species tracker,2017/02/09 13:13:20,0BDLDB200103ZL,0CKJ115596,0DQADBU03107N6,Timeout,,,,Give,Syddanmark,2,1,0,3036,2021/03/18 12:04:50.826,55.914752,9.203741,2021.24,318.6,100.4,13.87,5.2,0,202,35.79,P4 Professional,2017/02/09 13:13:20,species tracker,07JDDBB0010175,0BDLDB200103ZL,0CKJ115596,0DQADBU03107N6,iOS,4.3.42,,,,,,
2021/03/18 12:04:51.557,,,0,,0.03,0,0.03,1.93,0.03,1.93,0,55.914752,9.203742,0,35.8,0,0,0,0.7,-1.7,-13.7,EngineStart,41,Other,0,True,Ground,True,True,Standby,0,True,False,0,P,True,False,False,5,Smart,False,False,False,False,False,False,False,False,14,RC_AssistantTakeoff,9,None,0,Already,0,False,0,0.1,0.7,1,28,P4 Professional,MonitorError,0,,0,RC,0,0,0,-10.8,YawFollow,2,0,0,0,False,0,False,False,False,False,False,1,False,False,False,78751,0,0,0,0,0,0,P,False,0,0,0,0,0,0,0,10,96,16.503,4999,5208,0,60,0,1.34,4.125,4.14,4.136,4.124,,0,0,1980/00/00,16.95,Normal,0,0,True,,0,0,0,0,0,0,1340.713,None,0,NonGoHome,0,0,16.504,96,30,False,10,True,0,,,,,,,,,,,,,,,0,0,1,No,No,0,1,Normal,0,No,0,0,0,0,CheckSuccess,TakePhoto,59344,45574,5479,3540,0,FC6310,11,GoHome,False,True,False,55.914763,9.203718,-35.79,True,1,1,False,False,False,True,4,False,0,False,False,False,CourseLock,120,-23.9,0,17,0,391,False,False,False,False,False,False,False,Normal,NonLimit,False,MotorOff,MotorOff,MotorOff,MotorOff,NonConnect,NonConnect,NonConnect,NonConnect,3,P4 Professional,iOS,4.3.42,07JDDBB0010175,species tracker,2017/02/09 13:13:20,0BDLDB200103ZL,0CKJ115596,0DQADBU03107N6,Timeout,,,,Give,Syddanmark,2,1,0,3036,2021/03/18 12:04:50.826,55.914752,9.203741,2021.24,318.6,100.4,13.87,5.2,0,202,35.79,P4 Professional,2017/02/09 13:13:20,species tracker,07JDDBB0010175,0BDLDB200103ZL,0CKJ115596,0DQADBU03107N6,iOS,4.3.42,,,,,,
2021/03/18 12:04:51.766,,,0,,0.03,0,0,1.93,0.03,1.93,0,55.914752,9.203742,0,35.8,0,0,0,0.7,-1.7,-13.7,EngineStart,41,Other,0,True,Ground,True,True,Standby,0,True,False,0,P,True,False,False,5,Smart,False,False,False,False,False,False,False,False,14,RC_AssistantTakeoff,9,None,0,Already,0,False,0,0.1,0.8,1,28,P4 Professional,MonitorError,0,,0,RC,0,0,0,-12.4,YawFollow,2,0,0,0,False,0,False,False,False,False,False,1,False,False,False,78967,0,0,0,0,0,0,P,False,0,0,0,0,0,0,0,10,96,16.503,4999,5208,0,60,0,1.34,4.125,4.14,4.136,4.124,,0,0,1980/00/00,16.95,Normal,0,0,True,,0,0,0,0,0,0,1340.713,None,0,NonGoHome,0,0,16.504,96,30,False,10,True,0,,,,,,,,,,,,,,,0,0,1,No,No,0,1,Normal,0,No,0,0,0,0,CheckSuccess,TakePhoto,59344,45574,5479,3540,0,FC6310,11,GoHome,False,True,False,55.914763,9.203718,-35.79,True,1,1,False,False,False,True,4,False,0,False,False,False,CourseLock,120,-23.9,0,17,0,391,False,False,False,False,False,False,False,Normal,NonLimit,False,MotorOff,MotorOff,MotorOff,MotorOff,NonConnect,NonConnect,NonConnect,NonConnect,3,P4 Professional,iOS,4.3.42,07JDDBB0010175,species tracker,2017/02/09 13:13:20,0BDLDB200103ZL,0CKJ115596,0DQADBU03107N6,Timeout,,,,Give,Syddanmark,2,1,0,3036,2021/03/18 12:04:50.826,55.914752,9.203741,2021.24,318.6,100.4,13.87,5.2,0,202,35.79,P4 Professional,2017/02/09 13:13:20,species tracker,07JDDBB0010175,0BDLDB200103ZL,0CKJ115596,0DQADBU03107N6,iOS,4.3.42,,,,,,
2021/03/18 12:04:51.867,,,0,,0.03,0,0.03,1.94,0.04,1.94,0,55.914752,9.203742,0,35.8,0,0,0,1,-1.7,-13.7,EngineStart,41,Other,0,True,Ground,True,True,Standby,0,True,False,0,P,True,False,False,5,Smart,False,False,False,False,False,False,False,False,14,RC_AssistantTakeoff,9,None,0,Already,0,False,0,0.1,1,1,28,P4 Professional,MonitorError,0,,0,RC,0,0,0,-12.6,YawFollow,2,0,0,0,False,0,False,False,False,False,False,1,False,False,False,79073,0,0,0,0,0,0,P,False,0,0,0,0,0,0,0,10,96,16.503,4999,5208,0,60,0,1.34,4.125,4.14,4.136,4.124,,0,0,1980/00/00,16.95,Normal,0,0,True,,0,0,0,0,0,0,1340.713,None,0,NonGoHome,0,0,16.504,96,30,False,10,True,0,,,,,,,,,,,,,,,0,0,1,No,No,0,1,Normal,0,No,0,0,0,0,CheckSuccess,TakePhoto,59344,45574,5479,3540,0,FC6310,11,GoHome,False,True,False,55.914763,9.203718,-35.79,True,1,1,False,False,False,True,4,False,0,False,False,False,CourseLock,120,-23.9,0,17,0,391,False,False,False,False,False,False,False,Normal,NonLimit,False,MotorOff,MotorOff,MotorOff,MotorOff,NonConnect,NonConnect,NonConnect,NonConnect,3,P4 Professional,iOS,4.3.42,07JDDBB0010175,species tracker,2017/02/09 13:13:20,0BDLDB200103ZL,0CKJ115596,0DQADBU03107N6,Timeout,,,,Give,Syddanmark,2,1,0,3036,2021/03/18 12:04:50.826,55.914752,9.203741,2021.24,318.6,100.4,13.87,5.2,0,202,35.79,P4 Professional,2017/02/09 13:13:20,species tracker,07JDDBB0010175,0BDLDB200103ZL,0CKJ115596,0DQADBU03107N6,iOS,4.3.42,,,,,,
